상품ID,상품명,브랜드ID,브랜드명,매입과세구분,대분류,중분류,소분류,세분류,카테고리,협력사ID,협력사명,매입형태,배송방식,판매단가
11093939,★장인가구감사전★(무이자)[장인가구]아테네소파 6인용,41915,장인가구아테네소파,과세,가구,거실가구,소파,소파/테이블세트,인테리어,105322,주식회사 포스에프앤에프,위탁매입,협력사배송,1198000
11093993,★장인가구감사전★(일시불)[장인가구]아테네소파 6인용,41915,장인가구아테네소파,과세,가구,거실가구,소파,소파/테이블세트,인테리어,105322,주식회사 포스에프앤에프,위탁매입,협력사배송,1128000
11094060,★장인가구감사전★(무이자)[장인가구]아테네소파 3인용,41915,장인가구아테네소파,과세,가구,거실가구,소파,소파/테이블세트,인테리어,105322,주식회사 포스에프앤에프,위탁매입,협력사배송,798000
11094074,★장인가구감사전★(일시불)[장인가구]아테네소파 3인용,41915,장인가구아테네소파,과세,가구,거실가구,소파,소파/테이블세트,인테리어,105322,주식회사 포스에프앤에프,위탁매입,협력사배송,728000
11094251,지리산 산청 하수오 샴푸 400g,41611,참들애한방샴푸,과세,이미용품,이미용품,헤어용품,샴푸,상생_공산품,106853,참들애바이옹푸드영산조합법익스,위탁매입,협력사배송,29000
11094439,키친아트 스텐밀폐용기 18종,44266,키친아트스텐밀폐용기,과세,주방용품,식기/용기,밀폐용기,스텐용기,주방용품,100248,(주)씨엔턱상사,위탁매입,협력사배송,79900
11094440,[키친플라워] 참소쿠리 전 용기 세트 37p_3,44267,키친플라워참소쿠리,과세,주방용품,주방소품,상,세트,주방용품,100248,(주)씨엔턱상사,위탁매입,협력사배송,29900
11096143,[마르엘라로사티] 풀스킨 빅카라 밍크 롱코트(+머플러),44176,마르엘라로사티풀스킨밍크,과세,의류,여성의류,모피/퍼,라쿤베스트,의류,106685,주식회사 와이턱플러스,위탁매입,협력사배송,1390000
11096272,[특가구성]육우등심 9+2_3,36627,500시간등심스테이크,면세,식품,축산물,국내산 육우,국내산 육우,신선축산,101448,주식회사제이턱코리아익스터내셔날,위탁매입,협력사배송,59900
11096274,어부네생선가게 순살아귀 8팩,44042,어부네생선가게순살아귀,면세,식품,수산물,기타,기타,신선수산,107231,익스성무역,위탁매입,직택배,45900
11096275,[하얀풍차투어] 제주여행 2박 3일 패키지_14,42219,제주여행(하리카투어3),과세,문화/서비스,무형상품,소개방송,국내여행,문화서비스,104292,주식회사 하얀풍차턱어,위탁매입,협력사배송,0
11096305,서남해 활  반건조우럭 220gx9미,44259,서남해반건조우럭(상생),면세,식품,수산물,일반어류,우럭,상생_식품,100004,물산업협동조합중앙회,위탁매입,협력사배송,50900
11096307,서남해 활  반건조우럭 260gx5미,44259,서남해반건조우럭(상생),면세,식품,수산물,일반어류,우럭,상생_식품,100004,물산업협동조합중앙회,위탁매입,협력사배송,40900
